Movie Name,Release Year,Director,Age Difference,Actor 1 Name,Actor 1 Gender,Actor 1 Birthdate,Actor 1 Age,Actor 2 Name,Actor 2 Gender,Actor 2 Birthdate,Actor 2 Age
,2010,Jonathan Lynn,34,Bill Nighy,man,12/12/1949,61,Emily Blunt,woman,,27
Being There,1979,Hal Ashby,33,Melvyn Douglas,,,78,Shirley MacLaine,woman,24/04/1934,45
"Fort Apache, The Bronx",1981,,33,Paul Newman,man,26/01/1925,56,Rachel Ticotin,woman,1/11/1958,23
Hollywood Ending,2002,Woody Allen,33,Woody Allen,man,1/12/1935,67,,woman,15/08/1968,34
The Mother,2003,Roger Michell,33,Anne Reid,woman,28/05/1935,68,Daniel Craig,man,2/03/1968,35
Daddy Long Legs,1955,Jean Negulesco,32,Fred Astaire,man,1899-05-10,,Leslie Caron,woman,1/07/1931,24
Lolita,1997,Adrian Lyne,32,Jeremy Irons,man,19/09/1948,49,,woman,12/08/1980,17
,1995,Woody Allen,32,,man,1/12/1935,60,Mira Sorvino,woman,28/09/1967,28
Stone,2010,John Curran,32,Robert De Niro,man,18/08/1943,,Milla Jovovich,woman,17/12/1975,35
The Private Lives of Pippa Lee,2009,Rebecca Miller,32,Alan Arkin,man,26/03/1934,75,Robin Wright,woman,,43
Third Person,2013,Paul Haggis,32,Liam Neeson,man,7/06/1952,61,Olivia Wilde,woman,10/03/1984,29
Elegy,2008,Isabel Coixet,31,Ben Kingsley,man,31/12/1943,65,Penelope Cruz,woman,28/04/1974,34
Mighty Aphrodite,1995,,31,Woody Allen,man,,60,Helena Bonham Carter,,26/05/1966,
A View to a Kill,1985,John Glen,30,Roger Moore,man,14/10/1927,58,Mary Stavin,woman,20/08/1957,28
Enemy of the State,1998,Tony Scott,30,Jon Voight,man,29/12/1938,60,,woman,11/08/1968,30
For Your Eyes Only,1981,John Glen,30,Roger Moore,man,14/10/1927,54,Carole Bouquet,woman,18/08/1957,24
Funny Face,1957,,30,Fred Astaire,man,,58,Audrey Hepburn,woman,4/05/1929,28
Houseboat,1958,Melville Shavelson,,Cary Grant,man,18/01/1904,54,Sophia Loren,woman,20/09/1934,24
Kindergarten Cop 2,2016,Don Michael Paul,30,Dolph Lundgren,man,3/11/1957,59,Darla Taylor,woman,31/01/1987,29
,1954,Billy Wilder,30,Humphrey Bogart,man,1899-12-25,55,Audrey Hepburn,woman,4/05/1929,25
The Quiet American,1958,Joseph L. Mankiewicz,30,,man,20/03/1908,50,,woman,14/01/1938,20
A Single Man,2009,Tom Ford,29,Colin Firth,man,10/09/1960,49,Nicholas Hoult,man,,20
A View to a Kill,1985,John Glen,29,Roger Moore,man,14/10/1927,58,Fiona Fullerton,woman,10/10/1956,29
Arbitrage,2012,Nicholas Jarecki,29,Richard Gere,man,31/08/1949,63,Laetitia Casta,woman,11/05/1978,34
Bulworth,1998,Warren Beatty,29,Warren Beatty,man,30/03/1937,61,Halle Berry,,14/08/1966,32
Mank,2020,David Fincher,29,Gary Oldman,,,62,Tuppence Middleton,woman,21/02/1987,33
,1995,Ang Lee,,Alan Rickman,man,21/02/1946,49,Kate Winslet,woman,5/10/1975,20
The Departed,2006,Martin Scorsese,29,Jack Nicholson,man,22/04/1937,,Kristen Dalton,woman,14/02/1966,40
The Man Who Wasn't There,2001,Joel Coen,29,Billy Bob Thornton,man,4/08/1955,46,Scarlett Johansson,woman,,17
A Perfect Murder,1998,Andrew Davis,28,Michael Douglas,man,25/09/1944,54,Gwyneth Paltrow,woman,27/09/1972,26
A View to a Kill,1985,John Glen,28,Roger Moore,man,14/10/1927,58,Tanya Roberts,woman,15/10/1955,
Beat the Devil,1953,John Huston,28,Humphrey Bogart,man,1899-12-25,54,,woman,4/07/1927,26
Café Society,2016,Woody Allen,28,Steve Carell,man,16/08/1962,54,Kristen Stewart,woman,9/04/1990,26
Crazy Heart,2009,Scott Cooper,28,Jeff Bridges,man,4/12/1949,60,Maggie Gyllenhaal,woman,16/11/1977,32
Gangster Squad,2013,Ruben Fleischer,28,,man,17/08/1960,53,Emma Stone,woman,6/11/1988,25
High Noon,1952,Fred Zinnemann,28,Gary Cooper,man,7/05/1901,51,Grace Kelly,woman,12/11/1929,23
Last Tango in Paris,1972,Bernardo Bertolucci,28,Marlon Brando,man,3/04/1924,48,Maria Schneider,woman,27/03/1952,20
Love in the Afternoon,1957,undefined,28,Gary Cooper,man,7/05/1901,56,Audrey Hepburn,woman,4/05/1929,28
Magic in the Moonlight,2014,Woody Allen,28,Colin Firth,man,10/09/1960,54,Emma Stone,woman,6/11/1988,26
Freeheld,2015,Peter Sollett,27,Julianne Moore,woman,3/12/1960,55,Ellen Page,woman,21/02/1987,28
"Six Days, Seven Nights",1998,Ivan Reitman,27,Harrison Ford,man,13/07/1942,56,Anne Heche,woman,25/05/1969,
Tadpole,2002,,27,Aaron Stanford,man,27/12/1976,26,Sigourney Weaver,woman,8/10/1949,53
The Oranges,2012,Julian Farino,27,Hugh Laurie,man,11/06/1959,,Leighton Meester,woman,,26
The Squid and the Whale,2005,Noah Baumbach,27,Jeff Daniels,man,19/01/1955,50,Anna Paquin,woman,24/07/1982,23
You Should Have Left,2020,David Koepp,27,Kevin Bacon,man,8/07/1958,62,Amanda Seyfried,woman,3/12/1985,35
As Good as It Gets,1997,James L. Brooks,26,Jack Nicholson,man,22/04/1937,60,Helen Hunt,woman,15/06/1963,34
Behind the Candelabra,2013,Steven Soderbergh,26,Michael Douglas,,25/09/1944,69,Matt Damon,,8/10/1970,43
Black Mass,2015,Scott Cooper,26,Johnny Depp,man,9/06/1963,52,Dakota Johnson,woman,4/10/1989,26
Die Another Day,2002,Lee Tamahori,26,Pierce Brosnan,man,16/05/1953,49,Rosamund Pike,woman,27/01/1979,23
High Society,1956,Charles Walters,26,Bing Crosby,man,3/05/1903,53,Grace Kelly,woman,12/11/1929,27
I Love Trouble,1994,Charles Shyer,26,Nick Nolte,man,,53,Julia Roberts,woman,28/10/1967,27
Indecent Proposal,1993,Adrian Lyne,26,Robert Redford,man,18/08/1936,57,Demi Moore,woman,11/11/1962,31
Manhattan,1979,Woody Allen,26,Woody Allen,man,1/12/1935,44,Mariel Hemingway,woman,22/11/1961,18
Phantom Thread,2017,Paul Thomas Anderson,26,Daniel Day-Lewis,man,29/04/1957,60,Vicky Krieps,woman,4/10/1983,34
The Color of Money,1986,Martin Scorsese,26,Paul Newman,man,26/01/1925,61,Helen Shaver,woman,24/02/1951,35
Amelia,2009,Mira Nair,25,Richard Gere,man,31/08/1949,60,Hilary Swank,woman,30/07/1974,35
Charade,1963,Stanley Donen,25,Cary Grant,man,18/01/1904,59,Audrey Hepburn,woman,4/05/1929,34
Chloe,2009,Atom Egoyan,25,Julianne Moore,woman,3/12/1960,49,Amanda Seyfried,woman,3/12/1985,24
Dark Passage,1947,Delmer Daves,25,Humphrey Bogart,man,1899-12-25,48,Lauren Bacall,woman,16/09/1924,23
I Married a Witch,1942,René Clair,25,Fredric March,man,1897-08-31,45,Veronica Lake,woman,14/11/1922,20
Key Largo,1948,John Huston,25,Humphrey Bogart,man,1899-12-25,49,Lauren Bacall,woman,16/09/1924,24
Knock Knock,2015,Eli Roth,25,Keanu Reeves,man,2/09/1964,51,Lorenza Izzo,woman,19/09/1989,26
Love Actually,2003,Richard Curtis,25,Alan Rickman,man,21/02/1946,57,Heike Makatsch,woman,13/08/1971,32
Mission: Impossible,1996,Brian De Palma,25,Jon Voight,man,29/12/1938,58,Emmanuelle Béart,woman,14/08/1963,33
Rumor Has It...,2005,Rob Reiner,25,Richard Jenkins,man,3/05/1947,58,Jennifer Taylor,woman,19/04/1972,33
Seabiscuit,2003,Gary Ross,25,Jeff Bridges,man,4/12/1949,54,Elizabeth Banks,woman,10/02/1974,29
Spun,2002,Jonas Åkerlund,25,Mickey Rourke,man,16/09/1952,50,Brittany Murphy,woman,10/11/1977,25
State of the Union,1948,Frank Capra,25,Spencer Tracy,man,5/04/1900,48,Angela Lansbury,woman,16/10/1925,23
The Big Sleep,1946,Howard Hawks,25,Humphrey Bogart,man,1899-12-25,47,Lauren Bacall,woman,16/09/1924,22
The Misfits,1961,John Huston,25,Clark Gable,man,1/02/1901,60,Marilyn Monroe,woman,1/06/1926,35
The Tomb of Ligeia,1964,Roger Corman,25,Vincent Price,man,27/05/1911,53,Elizabeth Shepherd,woman,12/08/1936,28
To Catch a Thief,1955,Alfred Hitchcock,25,Cary Grant,man,18/01/1904,51,Grace Kelly,woman,12/11/1929,26
To Have and Have Not,1944,Howard Hawks,25,Humphrey Bogart,man,1899-12-25,45,Lauren Bacall,woman,16/09/1924,20
Vertigo,1958,Alfred Hitchcock,25,James Stewart,man,20/05/1908,50,Kim Novak,woman,13/02/1933,25
World's Greatest Dad,2009,Bobcat Goldthwait,25,Robin Williams,man,21/07/1951,58,Alexie Gilmore,woman,1/01/1976,33
15 Minutes,2001,John Herzfeld,24,Robert De Niro,man,18/08/1943,58,Melina Kanakaredes,woman,23/04/1967,34
American Gangster,2007,Ridley Scott,24,Denzel Washington,man,28/12/1954,53,Lymari Nadal,woman,11/02/1978,29
Beyond the Sea,2004,Kevin Spacey,24,Kevin Spacey,man,26/07/1959,45,Kate Bosworth,woman,2/01/1983,21
Cleaner,2007,Renny Harlin,24,Ed Harris,man,28/11/1950,57,Eva Mendes,woman,5/03/1974,33
Dark Shadows,2012,Tim Burton,24,Johnny Depp,man,9/06/1963,49,Bella Heathcote,woman,27/05/1987,25
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,24,Tom Atkins,man,13/11/1935,47,Stacey Nelkin,woman,10/09/1959,23
In a Lonely Place,1950,Nicholas Ray,24,Humphrey Bogart,man,1899-12-25,51,Gloria Grahame,woman,28/11/1923,27
Indiana Jones and the Last Crusade,1989,Steven Spielberg,24,Harrison Ford,man,13/07/1942,47,Alison Doody,woman,9/03/1966,23
Knock Knock,2015,Eli Roth,24,Keanu Reeves,man,2/09/1964,51,Ana de Armas,woman,30/04/1988,27
Live and Let Die,1973,Guy Hamilton,24,Roger Moore,man,14/10/1927,46,Jane Seymour,woman,15/02/1951,22
Moonraker,1979,Lewis Gilbert,24,Roger Moore,man,14/10/1927,52,Emily Bolton,woman,15/06/1951,28
Rio Bravo,1959,Howard Hawks,24,John Wayne,man,26/05/1907,52,Angie Dickinson,woman,30/09/1931,28
Surrogates,2009,Jonathan Mostow,24,Bruce Willis,man,19/03/1955,54,Rosamund Pike,woman,27/01/1979,30
The Horse Whisperer,1998,Robert Redford,24,Robert Redford,man,18/08/1936,62,Kristin Scott Thomas,woman,24/05/1960,38
The Wrong Man,1956,Alfred Hitchcock,24,Henry Fonda,man,16/05/1905,51,Vera Miles,woman,23/08/1929,27
A Walk in the Woods,2015,Ken Kwapis,23,Robert Redford,man,18/08/1936,79,Emma Thompson,woman,15/04/1959,56
En kongelig affaere,2012,Nikolaj Arcel,23,Mads Mikkelsen,man,22/11/1965,47,Alicia Vikander,woman,3/10/1988,24
Flight,2012,Robert Zemeckis,23,Denzel Washington,man,28/12/1954,58,Kelly Reilly,woman,18/07/1977,35
Hobbs & Shaw,2019,David Leitch,23,Jason Statham,man,26/07/1967,52,Eiza Gonzalez,woman,30/01/1990,29
Moonraker,1979,Lewis Gilbert,23,Roger Moore,man,14/10/1927,52,Corinne Clery,woman,23/03/1950,29
Network,1976,Sidney Lumet,23,William Holden,man,17/04/1918,58,Faye Dunaway,woman,14/01/1941,35
Octopussy,1983,John Glen,23,Roger Moore,man,14/10/1927,56,Kristina Wayborn,woman,24/09/1950,33
Sabrina,1995,Sydney Pollack,23,Harrison Ford,man,13/07/1942,53,Julia Ormond,woman,4/01/1965,30
Seeking a Friend for the End of the World,2012,Lorene Scafaria,23,Steve Carell,man,16/08/1962,50,Keira Knightley,woman,26/03/1985,27
The Details,2011,Jacob Aaron Estes,23,Ray Liotta,man,18/12/1954,57,Kerry Washington,woman,31/01/1977,34
The Duchess,2008,Saul Dibb,23,Ralph Fiennes,man,22/12/1962,46,Keira Knightley,woman,26/03/1985,23
The First Wives Club,1996,Hugh Wilson,23,Victor Garber,man,16/03/1949,47,Elizabeth Berkley,woman,28/07/1972,24
The Man with the Golden Gun,1974,Guy Hamilton,23,Christopher Lee,man,27/06/1922,52,Maud Adams,woman,12/02/1945,29
The Rum Diary,2011,Bruce Robinson,23,Johnny Depp,man,9/06/1963,48,Amber Heard,woman,22/04/1986,25
Autumn in New York,2000,Joan Chen,22,Richard Gere,man,31/08/1949,51,Winona Ryder,woman,29/10/1971,29
Dial M for Murder,1954,Alfred Hitchcock,22,Ray Milland,man,1/03/1907,47,Grace Kelly,woman,12/11/1929,25
Focus,2015,"Glenn Ficarra, John Requa",22,Will Smith,man,25/09/1968,47,Margot Robbie,woman,2/07/1990,25
Live and Let Die,1973,Guy Hamilton,22,Roger Moore,man,14/10/1927,46,Gloria Hendry,woman,3/03/1949,24
Live and Let Die,1973,Guy Hamilton,22,Roger Moore,man,14/10/1927,46,Madeline Smith,woman,2/08/1949,24
Luci del varietà,1951,Federico Fellini,22,Peppino De Filippo,man,24/08/1903,48,Carla Del Poggio,woman,2/12/1925,26
The Mummy,2017,Alex Kurtzman,22,Tom Cruise,man,3/07/1962,55,Annabelle Wallis,woman,25/09/1984,33
The Other Woman,2014,Nick Cassavetes,22,Nikolaj Coster-Waldau,man,27/07/1970,44,Kate Upton,woman,10/06/1992,22
The Prom,2020,Ryan Murphy,22,Keegan-Michael Key,man,22/03/1971,49,Meryl Streep,woman,22/06/1949,71
The Royal Tenenbaums,2001,Wes Anderson,22,Bill Murray,man,21/09/1950,51,Gwyneth Paltrow,woman,27/09/1972,29
Up Close & Personal,1996,Jon Avnet,22,Robert Redford,man,18/08/1936,60,Michelle Pfeiffer,woman,29/04/1958,38
A View to a Kill,1985,John Glen,21,Roger Moore,man,14/10/1927,58,Grace Jones,woman,19/05/1948,37
Blame,2017,Quinn Shephard,21,Chris Messina,man,11/08/1974,43,Quinn Shephard,woman,28/02/1995,22
Bugsy,1991,Barry Levinson,21,Warren Beatty,man,30/03/1937,54,Annette Bening,woman,29/05/1958,33
Deja Vu,2006,Tony Scott,21,Denzel Washington,man,28/12/1954,52,Paula Patton,woman,5/12/1975,31
Don Jon,2013,Joseph Gordon-Levitt,21,Joseph Gordon-Levitt,man,17/02/1981,32,Julianne Moore,woman,3/12/1960,53
Edge of Tomorrow,2014,Doug Liman,21,Tom Cruise,man,3/07/1962,52,Emily Blunt,woman,23/02/1983,31
For Your Eyes Only,1981,John Glen,21,Roger Moore,man,14/10/1927,54,Cassandra Harris,woman,15/12/1948,33
Heat,1995,Michael Mann,21,Robert De Niro,man,18/08/1943,52,Amy Brenneman,woman,22/06/1964,31
Husbands and Wives,1992,Woody Allen,21,Sydney Pollack,man,1/07/1934,58,Judy Davis,woman,23/04/1955,37
It's Complicated,2009,Nancy Meyers,21,Alec Baldwin,man,3/04/1958,51,Lake Bell,woman,24/03/1979,30
Just Go with It,2011,Dennis Dugan,21,Adam Sandler,man,9/09/1966,45,Brooklyn Decker,woman,12/04/1987,24
King Arthur,2004,Antoine Fuqua,21,Clive Owen,man,3/10/1964,40,Keira Knightley,woman,26/03/1985,19
Licence to Kill,1989,John Glen,21,Timothy Dalton,man,21/03/1946,43,Talisa Soto,woman,27/03/1967,22
Modern Times,1936,Charlie Chaplin,21,Charlie Chaplin,man,1889-04-16,47,Paulette Goddard,woman,3/06/1910,26
My Cousin Vinny,1992,Jonathan Lynn,21,Joe Pesci,man,9/02/1943,49,Marisa Tomei,woman,4/12/1964,28
My Fair Lady,1964,George Cukor,21,Rex Harrison,man,5/03/1908,56,Audrey Hepburn,woman,4/05/1929,35
Rear Window,1954,Alfred Hitchcock,21,James Stewart,man,20/05/1908,46,Grace Kelly,woman,12/11/1929,25
Richard III,1995,Richard Loncraine,21,Ian McKellen,man,25/05/1939,56,Kristin Scott Thomas,woman,24/05/1960,35
Teacher's Pet,1958,George Seaton,21,Clark Gable,man,1/02/1901,57,Doris Day,woman,3/04/1922,36
The Bubble,2022,Judd Apatow,21,Pedro Pascal,man,2/04/1975,47,Maria Bakalova,woman,4/06/1996,26
The Great Dictator,1940,Charlie Chaplin,21,Charlie Chaplin,man,1889-04-16,51,Paulette Goddard,woman,3/06/1910,30
The Royal Tenenbaums,2001,Wes Anderson,21,Gene Hackman,man,30/01/1930,71,Anjelica Huston,woman,8/07/1951,50
The Verdict,1982,Sidney Lumet,21,Paul Newman,man,26/01/1925,57,Charlotte Rampling,woman,5/02/1946,36
Tomorrow Never Dies,1997,Roger Spottiswoode,21,Pierce Brosnan,man,16/05/1953,44,Cecilie Thomsen,woman,29/10/1974,23
V for Vendetta,2005,James McTeigue,21,Hugo Weaving,man,4/04/1960,45,Natalie Portman,woman,9/06/1981,24
American Beauty,1999,Sam Mendes,20,Kevin Spacey,man,26/07/1959,40,Mena Suvari,woman,13/02/1979,20
Get Smart,2008,Peter Segal,20,Steve Carell,man,16/08/1962,46,Anne Hathaway,woman,12/11/1982,26
Jurassic Park,1993,Steven Spielberg,20,Sam Neill,man,14/09/1947,46,Laura Dern,woman,10/02/1967,26
Killer Joe,2011,William Friedkin,20,Matthew McConaughey,man,4/11/1969,42,Juno Temple,woman,20/07/1989,22
L.A. Story,1991,Mick Jackson,20,Steve Martin,man,14/08/1945,46,Sarah Jessica Parker,woman,25/03/1965,26
Moonraker,1979,Lewis Gilbert,20,Roger Moore,man,14/10/1927,52,Lois Chiles,woman,15/04/1947,32
North by Northwest,1959,Alfred Hitchcock,20,Cary Grant,man,18/01/1904,55,Eva Marie Saint,woman,4/07/1924,35
Notes on a Scandal,2006,Richard Eyre,20,Andrew Simpson,man,1/01/1989,17,Cate Blanchett,woman,14/05/1969,37
Oppenheimer,2023,Christopher Nolan,20,Cillian Murphy,man,25/05/1976,47,Florence Pugh,woman,3/01/1996,27
Patch Adams,1998,Tom Shadyac,20,Robin Williams,man,21/07/1951,47,Monica Potter,woman,30/06/1971,27
Pushing Tin,1999,Mike Newell,20,Billy Bob Thornton,man,4/08/1955,44,Angelina Jolie,woman,4/06/1975,24
Regarding Henry,1991,Mike Nichols,20,Harrison Ford,man,13/07/1942,49,Rebecca Miller,woman,15/09/1962,29
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",20,Gene Kelly,man,23/08/1912,40,Debbie Reynolds,woman,1/04/1932,20
The Duchess,2008,Saul Dibb,20,Ralph Fiennes,man,22/12/1962,46,Hayley Atwell,woman,5/04/1982,26
The Fifth Element,1997,Luc Besson,20,Bruce Willis,man,19/03/1955,42,Milla Jovovich,woman,17/12/1975,22
The Northman,2022,Robert Eggers,20,Alexander Skarsgard,man,25/08/1976,46,Anya Taylor-Joy,woman,16/04/1996,26
The Only Living Boy in New York,2017,Marc Webb,20,Pierce Brosnan,man,16/05/1953,64,Kate Beckinsale,woman,26/07/1973,44
The Spy Who Loved Me,1977,Lewis Gilbert,20,Roger Moore,man,14/10/1927,50,Barbara Bach,woman,27/08/1947,30
Training Day,2001,Antoine Fuqua,20,Denzel Washington,man,28/12/1954,47,Eva Mendes,woman,5/03/1974,27
Virginia,2010,Dustin Lance Black,20,Ed Harris,man,28/11/1950,60,Jennifer Connelly,woman,12/12/1970,40
Water for Elephants,2011,Francis Lawrence,20,Christoph Waltz,man,4/10/1956,55,Reese Witherspoon,woman,21/03/1976,35
American Pie,1999,"Paul Weitz, Chris Weitz",19,Eddie Kay Thomas,man,31/10/1980,19,Jennifer Coolidge,woman,28/08/1961,38
An American in Paris,1951,Vincente Minnelli,19,Gene Kelly,man,23/08/1912,39,Leslie Caron,woman,1/07/1931,20
Baby Doll,1956,Elia Kazan,19,Karl Malden,man,22/03/1912,44,Carroll Baker,woman,28/05/1931,25
Baby Driver,2017,Edgar Wright,19,Jon Hamm,man,10/03/1971,46,Eiza Gonzalez,woman,30/01/1990,27
Birdman,2014,Alejandro González Iñárritu,19,Edward Norton,man,18/08/1969,45,Emma Stone,woman,6/11/1988,26
Buffalo '66,1998,Vincent Gallo,19,Vincent Gallo,man,11/04/1961,37,Christina Ricci,woman,12/02/1980,18
Firewall,2006,Richard Loncraine,19,Harrison Ford,man,13/07/1942,64,Virginia Madsen,woman,11/09/1961,45
Gone Girl,2014,David Fincher,19,Ben Affleck,man,15/08/1972,42,Emily Ratajkowski,woman,7/06/1991,23
Mighty Aphrodite,1995,Woody Allen,19,Peter Weller,man,24/06/1947,48,Helena Bonham Carter,woman,26/05/1966,29
Mother's Day,2016,Garry Marshall,19,Timothy Olyphant,man,20/05/1968,48,Shay Mitchell,woman,10/04/1987,29
Män som hatar kvinnor,2009,Niels Arden Oplev,19,Michael Nyqvist,man,8/11/1960,49,Noomi Rapace,woman,28/12/1979,30
Skyfall,2012,Sam Mendes,19,Daniel Craig,man,2/03/1968,44,Tonia Sotiropoulou,woman,28/04/1987,25
Star of Midnight,1935,Stephen Roberts,19,William Powell,man,1892-06-29,43,Ginger Rogers,woman,16/07/1911,24
Street Kings,2008,David Ayer,19,Keanu Reeves,man,2/09/1964,44,Martha Higareda,woman,24/08/1983,25
Suburban Girl,2007,Marc Klein,19,Alec Baldwin,man,3/04/1958,49,Sarah Michelle Gellar,woman,14/04/1977,30
Suicide Squad,2016,David Ayer,19,Jared Leto,man,26/12/1971,45,Margot Robbie,woman,2/07/1990,26
The Bridges of Madison County,1995,Clint Eastwood,19,Clint Eastwood,man,31/05/1930,65,Meryl Streep,woman,22/06/1949,46
The Lord of the Rings,2001,Peter Jackson,19,Viggo Mortensen,man,20/10/1958,43,Liv Tyler,woman,1/07/1977,24
The Mothman Prophecies,2002,Mark Pellington,19,Richard Gere,man,31/08/1949,53,Debra Messing,woman,15/08/1968,34
The Naked Gun,1988,David Zucker,19,Leslie Nielsen,man,11/02/1926,62,Priscilla Presley,woman,24/04/1945,43
Thunderball,1965,Terence Young,19,Adolfo Celi,man,27/07/1922,43,Claudine Auger,woman,26/04/1941,24
Transcendence,2014,Wally Pfister,19,Johnny Depp,man,9/06/1963,51,Rebecca Hall,woman,3/05/1982,32
A Single Man,2009,Tom Ford,18,Colin Firth,man,10/09/1960,49,Matthew Goode,man,3/04/1978,31
All I See Is You,2017,Marc Forster,18,Jason Clarke,man,17/07/1969,48,Blake Lively,woman,25/08/1987,30
Always Be My Maybe,2019,Nahnatchka Khan,18,Keanu Reeves,man,2/09/1964,55,Ali Wong,woman,19/04/1982,37
Austin Powers in Goldmember,2002,Jay Roach,18,Mike Myers,man,25/04/1963,39,Beyonce Knowles,woman,4/09/1981,21
Avengers: Infinity War,2018,Joe & Anthony Russo,18,Paul Bettany,man,27/05/1971,47,Elizabeth Olsen,woman,16/02/1989,29
Big Eyes,2014,Tim Burton,18,Christoph Waltz,man,4/10/1956,58,Amy Adams,woman,20/08/1974,40
Color of Night,1994,Richard Rush,18,Bruce Willis,man,19/03/1955,39,Jane March,woman,20/03/1973,21
Guess Who's Coming to Dinner,1967,John Huston,18,Sidney Poitier,man,20/02/1927,40,Katharine Houghton,woman,10/03/1945,22
Milk,2008,Gus Van Sant,18,Sean Penn,man,17/08/1960,48,James Franco,man,19/04/1978,30
Octopussy,1983,John Glen,18,Roger Moore,man,14/10/1927,56,Maud Adams,woman,12/02/1945,38
Once,2007,John Carney,18,Glen Hansard,man,21/04/1970,37,Marketa Irglova,woman,28/02/1988,19
Pretty Woman,1990,Garry Marshall,18,Richard Gere,man,31/08/1949,41,Julia Roberts,woman,28/10/1967,23
Quantum of Solace,2008,Marc Forster,18,Daniel Craig,man,2/03/1968,40,Gemma Arterton,woman,2/02/1986,22
Raising Helen,2004,Garry Marshall,18,John Corbett,man,9/05/1961,43,Kate Hudson,woman,19/04/1979,25
Random Hearts,1999,Sydney Pollack,18,Harrison Ford,man,13/07/1942,57,Kristin Scott Thomas,woman,24/05/1960,39
Replicas,2018,Jeffrey Nachmanoff,18,Keanu Reeves,man,2/09/1964,54,Alice Eve,woman,6/02/1982,36
Runaway Bride,1999,Garry Marshall,18,Richard Gere,man,31/08/1949,50,Julia Roberts,woman,28/10/1967,32
Rushmore,1998,Wes Anderson,18,Bill Murray,man,21/09/1950,48,Olivia Williams,woman,26/07/1968,30
Scarface,1983,Brian De Palma,18,Al Pacino,man,25/04/1940,43,Michelle Pfeiffer,woman,29/04/1958,25
Something's Gotta Give,2003,Nancy Meyers,18,Keanu Reeves,man,2/09/1964,39,Diane Keaton,woman,5/01/1946,57
St. Vincent,2014,Theodore Melfi,18,Bill Murray,man,21/09/1950,64,Naomi Watts,woman,28/09/1968,46
Tadpole,2002,Gary Winick,18,Aaron Stanford,man,27/12/1976,26,Bebe Neuwirth,woman,31/12/1958,44
The Killing of a Chinese Bookie,1976,John Cassavetes,18,Ben Gazzara,man,28/08/1930,46,Azizi Johari,woman,24/08/1948,28
The Man with the Golden Gun,1974,Guy Hamilton,18,Roger Moore,man,14/10/1927,47,Maud Adams,woman,12/02/1945,29
The Rum Diary,2011,Bruce Robinson,18,Aaron Eckhart,man,12/03/1968,43,Amber Heard,woman,22/04/1986,25
The World Is Not Enough,1999,Michael Apted,18,Pierce Brosnan,man,16/05/1953,46,Denise Richards,woman,17/02/1971,28
Tommy Boy,1995,Peter Segal,18,Brian Dennehy,man,9/07/1938,57,Bo Derek,woman,20/11/1956,39
Whatever Works,2009,Woody Allen,18,Larry David,man,2/07/1947,62,Jessica Hecht,woman,28/06/1965,44
Yes Man,2008,Peyton Reed,18,Jim Carrey,man,17/01/1962,46,Zooey Deschanel,woman,17/01/1980,28
